date,symbol,rank,final_score,confidence,edge_score,edge_signals,momentum_score,premover_score,entry_price,price_7d_later,return_pct,would_have_won
2024-03-14,MSFT,1,7.0,4.9,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.8,5.3,425.49,422.95,-0.6,False
2024-03-14,ABNB,2,7.5,5.1,3.0,BREAKOUT_STRUCTURE,8.7,5.8,166.51,168.01,0.9,True
2024-03-14,DASH,3,7.1,4.9,3.0,BREAKOUT_STRUCTURE,8.2,5.4,132.51,137.85,4.03,True
2024-03-15,MSFT,1,7.5,5.3,4.0,"RS_LEADER,VOLATILITY_EXPANSION",7.6,4.9,416.52,421.97,1.31,True
2024-03-15,FCX,2,5.6,4.3,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.9,2.7,44.58,44.77,0.43,True
2024-03-15,DASH,3,8.3,6.6,0.0,,7.9,7.0,130.46,140.27,7.52,True
2024-03-18,GOOGL,1,7.0,4.3,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.5,7.2,147.66,150.9,2.19,True
2024-03-18,DASH,2,8.2,7.2,0.0,,8.0,5.4,129.56,138.9,7.21,True
2024-03-18,MSFT,3,7.3,5.3,2.0,RS_LEADER,7.5,4.8,417.31,421.47,1.0,True
2024-03-19,EBAY,1,7.1,4.7,3.0,BREAKOUT_STRUCTURE,8.9,5.8,51.83,52.79,1.85,True
2024-03-19,DASH,2,8.1,7.1,0.0,,8.1,5.2,130.83,137.69,5.24,True
2024-03-19,META,3,7.7,6.8,0.0,,7.1,5.4,496.05,485.42,-2.14,False
2024-03-20,FCX,1,6.1,4.3,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",8.8,4.5,46.03,47.32,2.8,True
2024-03-20,SHOP,2,5.6,3.7,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.3,5.3,81.35,78.21,-3.86,False
2024-03-20,DASH,3,6.8,4.6,4.0,"RS_LEADER,VOLATILITY_EXPANSION",9.0,5.2,138.0,138.22,0.16,True
2024-03-21,MU,1,6.7,4.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",9.4,5.0,109.82,122.83,11.85,True
2024-03-21,ABNB,2,7.2,4.9,3.0,BREAKOUT_STRUCTURE,7.6,5.4,168.18,160.12,-4.79,False
2024-03-21,DKNG,3,6.0,4.0,5.0,"MOMENTUM_EXPANSION,RS_LEADER",8.7,5.0,47.96,44.69,-6.82,False
2024-03-22,ABNB,1,7.4,5.1,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",8.2,5.7,167.87,159.37,-5.06,False
2024-03-22,MSFT,2,7.1,4.8,3.0,BREAKOUT_STRUCTURE,7.3,5.8,428.86,420.74,-1.89,False
2024-03-22,MU,3,6.5,4.6,4.0,"RS_LEADER,VOLATILITY_EXPANSION",9.5,4.5,110.19,128.2,16.34,True
2024-03-25,ABNB,1,7.2,5.0,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.9,5.4,168.01,158.85,-5.45,False
2024-03-25,MU,2,5.7,4.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",9.7,2.1,117.12,124.08,5.94,True
2024-03-25,MSFT,3,7.3,6.3,3.0,BREAKOUT_STRUCTURE,6.8,5.3,422.95,417.76,-1.23,False
2024-03-26,ABNB,1,7.4,6.4,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.5,5.1,167.43,161.69,-3.43,False
2024-03-26,PINS,2,5.7,3.9,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",4.8,5.2,35.49,34.27,-3.44,False
2024-03-26,AMZN,3,7.4,6.5,3.0,BREAKOUT_STRUCTURE,6.0,5.1,178.45,185.04,3.69,True
2024-03-27,NEM,1,7.3,4.8,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",8.1,6.2,35.27,39.41,11.74,True
2024-03-27,EBAY,2,7.4,6.3,3.0,BREAKOUT_STRUCTURE,6.2,5.6,51.93,51.6,-0.64,False
2024-03-27,AMZN,3,7.1,6.2,3.0,BREAKOUT_STRUCTURE,6.2,5.1,179.87,185.24,2.99,True
2024-03-28,NEM,1,6.9,4.4,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",8.4,6.3,35.83,39.68,10.75,True
2024-03-28,HOOD,2,6.3,3.8,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",8.9,6.3,20.16,18.3,-9.23,False
2024-03-28,EBAY,3,7.1,5.8,3.0,BREAKOUT_STRUCTURE,7.4,5.7,52.79,51.96,-1.57,False
2024-04-01,MSFT,1,7.9,6.9,3.0,BREAKOUT_STRUCTURE,6.6,5.2,424.5,423.13,-0.32,False
2024-04-01,GOOGL,2,6.7,4.6,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.7,5.3,155.42,156.09,0.43,True
2024-04-01,AMZN,3,7.4,5.0,3.0,BREAKOUT_STRUCTURE,6.7,6.2,180.87,185.95,2.81,True
2024-04-02,GOOGL,1,6.6,5.0,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",9.4,3.2,154.64,159.37,3.06,True
2024-04-02,AMZN,2,7.3,6.3,3.0,BREAKOUT_STRUCTURE,7.3,5.4,180.68,189.1,4.66,True
2024-04-02,NEM,3,6.4,4.4,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",8.8,4.9,36.8,39.07,6.17,True
2024-04-03,AMZN,1,7.4,6.2,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.7,5.6,182.41,186.2,2.08,True
2024-04-03,GOOGL,2,6.7,5.2,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",9.4,3.1,154.92,157.77,1.84,True
2024-04-03,NEM,3,6.2,4.4,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",8.8,4.4,37.23,38.65,3.81,True
2024-04-04,NEM,1,7.2,4.5,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",9.1,6.9,37.74,38.45,1.88,True
2024-04-04,QCOM,2,7.6,6.8,4.0,"RS_LEADER,VOLATILITY_EXPANSION",6.4,4.9,169.77,169.83,0.04,True
2024-04-04,AMZN,3,7.5,7.3,4.0,"RS_LEADER,VOLATILITY_EXPANSION",7.8,3.4,180.04,183.63,1.99,True
2024-04-05,MSFT,1,8.0,7.1,4.0,"RS_LEADER,VOLATILITY_EXPANSION",7.9,5.0,425.36,414.64,-2.52,False
2024-04-05,DASH,2,7.6,5.4,4.0,"RS_LEADER,VOLATILITY_EXPANSION",8.5,5.0,139.47,133.84,-4.04,False
2024-04-05,GOOGL,3,7.9,7.1,2.0,VOLATILITY_EXPANSION,8.9,4.6,152.45,154.4,1.28,True
2024-04-08,MSFT,1,7.8,7.0,3.0,BREAKOUT_STRUCTURE,7.7,4.8,424.67,411.74,-3.04,False
2024-04-08,GOOGL,2,7.4,5.2,3.0,BREAKOUT_STRUCTURE,8.9,4.9,154.87,155.45,0.37,True
2024-04-08,PYPL,3,7.6,6.5,2.0,RS_LEADER,8.4,5.4,66.36,63.28,-4.64,False
2024-04-09,PYPL,1,7.4,5.0,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",8.4,5.8,67.02,62.1,-7.34,False
2024-04-09,GOOGL,2,7.5,5.2,3.0,BREAKOUT_STRUCTURE,8.9,5.3,156.61,155.97,-0.41,False
2024-04-09,AMAT,3,7.5,6.5,2.0,RS_LEADER,7.8,5.2,210.45,194.31,-7.67,False
2024-04-10,FCX,1,7.7,4.8,4.0,"RS_LEADER,VOLATILITY_EXPANSION",9.6,7.0,50.91,49.56,-2.65,False
2024-04-10,GOOGL,2,7.7,5.3,3.0,BREAKOUT_STRUCTURE,9.0,5.5,156.09,154.08,-1.29,False
2024-04-10,RBLX,3,5.2,3.5,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.0,4.9,39.84,35.33,-11.32,False
2024-04-11,AAPL,1,7.2,4.2,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",5.2,8.4,175.04,165.91,-5.22,False
2024-04-11,GOOGL,2,7.8,5.2,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",9.6,6.2,159.37,156.3,-1.93,False
